k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.04656076 
k_1: 10, k_3: 10, e: 0.00050, score: 0.15928785 
k_1: 10, k_3: 10, e: 0.00100, score: 0.16972512 
k_1: 10, k_3: 10, e: 0.00500, score: 0.15197158 
k_1: 10, k_3: 10, e: 0.01000, score: 0.27093663 
k_1: 10, k_3: 20, e: 0.00050, score: 0.16343381 
k_1: 10, k_3: 20, e: 0.00100, score: 0.15945267 
k_1: 10, k_3: 20, e: 0.00500, score: 0.14988376 
k_1: 10, k_3: 20, e: 0.01000, score: 0.27192415 
k_1: 10, k_3: 30, e: 0.00050, score: 0.26630352 
k_1: 10, k_3: 30, e: 0.00100, score: 0.27849076 
k_1: 10, k_3: 30, e: 0.00500, score: 0.26724676 
k_1: 10, k_3: 30, e: 0.01000, score: 0.26347152 
k_1: 10, k_3: 40, e: 0.00050, score: 0.31703757 
k_1: 10, k_3: 40, e: 0.00100, score: 0.31443887 
k_1: 10, k_3: 40, e: 0.00500, score: 0.26616975 
k_1: 10, k_3: 40, e: 0.01000, score: 0.26259311 
k_1: 10, k_3: 50, e: 0.00050, score: 0.44086902 
k_1: 10, k_3: 50, e: 0.00100, score: 0.30987744 
k_1: 10, k_3: 50, e: 0.00500, score: 0.26786220 
k_1: 10, k_3: 50, e: 0.01000, score: 0.26121250 
k_1: 10, k_3: 75, e: 0.00050, score: 0.27850218 
k_1: 10, k_3: 75, e: 0.00100, score: 0.27714941 
k_1: 10, k_3: 75, e: 0.00500, score: 0.27825975 
k_1: 10, k_3: 75, e: 0.01000, score: 0.26065139 
k_1: 10, k_3: 100, e: 0.00050, score: 0.27948103 
k_1: 10, k_3: 100, e: 0.00100, score: 0.34881050 
k_1: 10, k_3: 100, e: 0.00500, score: 0.40322893 
k_1: 10, k_3: 100, e: 0.01000, score: 0.41092322 
k_1: 20, k_3: 10, e: 0.00050, score: 0.16411727 
k_1: 20, k_3: 10, e: 0.00100, score: 0.16544128 
k_1: 20, k_3: 10, e: 0.00500, score: 0.15382884 
k_1: 20, k_3: 10, e: 0.01000, score: 0.26681212 
k_1: 20, k_3: 20, e: 0.00050, score: 0.16741313 
k_1: 20, k_3: 20, e: 0.00100, score: 0.16214953 
k_1: 20, k_3: 20, e: 0.00500, score: 0.15224323 
k_1: 20, k_3: 20, e: 0.01000, score: 0.26598850 
k_1: 20, k_3: 30, e: 0.00050, score: 0.17109204 
k_1: 20, k_3: 30, e: 0.00100, score: 0.16124966 
k_1: 20, k_3: 30, e: 0.00500, score: 0.27175203 
k_1: 20, k_3: 30, e: 0.01000, score: 0.26163937 
k_1: 20, k_3: 40, e: 0.00050, score: 0.31423068 
k_1: 20, k_3: 40, e: 0.00100, score: 0.16020370 
k_1: 20, k_3: 40, e: 0.00500, score: 0.34499873 
k_1: 20, k_3: 40, e: 0.01000, score: 0.26616199 
k_1: 20, k_3: 50, e: 0.00050, score: 0.44246559 
k_1: 20, k_3: 50, e: 0.00100, score: 0.27679649 
