k_1: 10, k_3: 50, e: 0.00500, score: 0.26526486 
k_1: 15, k_3: 50, e: 0.00500, score: 0.26541096 
k_1: 20, k_3: 50, e: 0.00500, score: 0.26768277 
k_1: 25, k_3: 50, e: 0.00500, score: 0.26793525 
k_1: 30, k_3: 50, e: 0.00500, score: 0.27229168 
k_1: 35, k_3: 50, e: 0.00500, score: 0.27539579 
k_1: 40, k_3: 50, e: 0.00500, score: 0.27518212 
k_1: 45, k_3: 50, e: 0.00500, score: 0.27913815 
k_1: 50, k_3: 50, e: 0.00500, score: 0.27698733 
k_1: 55, k_3: 50, e: 0.00500, score: 0.27784565 
k_1: 60, k_3: 50, e: 0.00500, score: 0.27948696 
k_1: 65, k_3: 50, e: 0.00500, score: 0.28099222 
k_1: 70, k_3: 50, e: 0.00500, score: 0.28172636 
k_1: 75, k_3: 50, e: 0.00500, score: 0.28219706 
k_1: 80, k_3: 50, e: 0.00500, score: 0.28352244 
k_1: 85, k_3: 50, e: 0.00500, score: 0.28479714 
k_1: 90, k_3: 50, e: 0.00500, score: 0.28662244 
k_1: 95, k_3: 50, e: 0.00500, score: 0.28917320 
k_1: 100, k_3: 50, e: 0.00500, score: 0.29119619 
