k_1: 10, k_2: 10, k_3: 10, e: 0.00050, score: 0.09465440 
k_1: 10, k_2: 10, k_3: 10, e: 0.00100, score: 0.08998328 
k_1: 10, k_2: 10, k_3: 10, e: 0.00500, score: 0.07701226 
k_1: 10, k_2: 10, k_3: 10, e: 0.01000, score: 0.10421405 
k_1: 10, k_2: 10, k_3: 20, e: 0.00050, score: 0.04587514 
k_1: 10, k_2: 10, k_3: 20, e: 0.00100, score: 0.04343924 
k_1: 10, k_2: 10, k_3: 20, e: 0.00500, score: 0.04653846 
k_1: 10, k_2: 10, k_3: 20, e: 0.01000, score: 0.05055741 
k_1: 10, k_2: 10, k_3: 30, e: 0.00050, score: 0.04046823 
k_1: 10, k_2: 10, k_3: 30, e: 0.00100, score: 0.03891862 
k_1: 10, k_2: 10, k_3: 30, e: 0.00500, score: 0.04358974 
k_1: 10, k_2: 10, k_3: 30, e: 0.01000, score: 0.05938127 
k_1: 10, k_2: 10, k_3: 40, e: 0.00050, score: 0.04438127 
k_1: 10, k_2: 10, k_3: 40, e: 0.00100, score: 0.04295987 
k_1: 10, k_2: 10, k_3: 40, e: 0.00500, score: 0.04827759 
k_1: 10, k_2: 10, k_3: 40, e: 0.01000, score: 0.07192865 
k_1: 10, k_2: 10, k_3: 50, e: 0.00050, score: 0.03745819 
k_1: 10, k_2: 10, k_3: 50, e: 0.00100, score: 0.03740245 
k_1: 10, k_2: 10, k_3: 50, e: 0.00500, score: 0.04858417 
k_1: 10, k_2: 10, k_3: 50, e: 0.01000, score: 0.08344482 
k_1: 10, k_2: 10, k_3: 75, e: 0.00050, score: 0.04421962 
k_1: 10, k_2: 10, k_3: 75, e: 0.00100, score: 0.04017837 
k_1: 10, k_2: 10, k_3: 75, e: 0.00500, score: 0.05094760 
k_1: 10, k_2: 10, k_3: 75, e: 0.01000, score: 0.09008361 
k_1: 10, k_2: 10, k_3: 100, e: 0.00050, score: 0.04094203 
k_1: 10, k_2: 10, k_3: 100, e: 0.00100, score: 0.03894649 
k_1: 10, k_2: 10, k_3: 100, e: 0.00500, score: 0.04022297 
k_1: 10, k_2: 10, k_3: 100, e: 0.01000, score: 0.04702899 
k_1: 10, k_2: 20, k_3: 10, e: 0.00050, score: 0.10134894 
k_1: 10, k_2: 20, k_3: 10, e: 0.00100, score: 0.09630435 
k_1: 10, k_2: 20, k_3: 10, e: 0.00500, score: 0.09872352 
k_1: 10, k_2: 20, k_3: 10, e: 0.01000, score: 0.09461538 
k_1: 10, k_2: 20, k_3: 20, e: 0.00050, score: 0.04802676 
k_1: 10, k_2: 20, k_3: 20, e: 0.00100, score: 0.04447046 
k_1: 10, k_2: 20, k_3: 20, e: 0.00500, score: 0.04400780 
k_1: 10, k_2: 20, k_3: 20, e: 0.01000, score: 0.06251951 
k_1: 10, k_2: 20, k_3: 30, e: 0.00050, score: 0.04020624 
k_1: 10, k_2: 20, k_3: 30, e: 0.00100, score: 0.03959309 
k_1: 10, k_2: 20, k_3: 30, e: 0.00500, score: 0.04436455 
k_1: 10, k_2: 20, k_3: 30, e: 0.01000, score: 0.05886845 
k_1: 10, k_2: 20, k_3: 40, e: 0.00050, score: 0.04283166 
k_1: 10, k_2: 20, k_3: 40, e: 0.00100, score: 0.04380156 
k_1: 10, k_2: 20, k_3: 40, e: 0.00500, score: 0.04647715 
k_1: 10, k_2: 20, k_3: 40, e: 0.01000, score: 0.07044036 
k_1: 10, k_2: 20, k_3: 50, e: 0.00050, score: 0.03806020 
k_1: 10, k_2: 20, k_3: 50, e: 0.00100, score: 0.03740803 
k_1: 10, k_2: 20, k_3: 50, e: 0.00500, score: 0.04856187 
k_1: 10, k_2: 20, k_3: 50, e: 0.01000, score: 0.08387402 
k_1: 10, k_2: 20, k_3: 75, e: 0.00050, score: 0.04280379 
k_1: 10, k_2: 20, k_3: 75, e: 0.00100, score: 0.03803790 
