k_1: 10, k_2: 10, k_3: 10, e: 0.00050, score: 0.59636009 
k_1: 10, k_2: 10, k_3: 10, e: 0.00100, score: 0.59340580 
k_1: 10, k_2: 10, k_3: 10, e: 0.00500, score: 0.59006689 
k_1: 10, k_2: 10, k_3: 10, e: 0.01000, score: 0.61612598 
k_1: 10, k_2: 10, k_3: 20, e: 0.00050, score: 0.42268673 
k_1: 10, k_2: 10, k_3: 20, e: 0.00100, score: 0.42279822 
k_1: 10, k_2: 10, k_3: 20, e: 0.00500, score: 0.41477703 
k_1: 10, k_2: 10, k_3: 20, e: 0.01000, score: 0.45025641 
k_1: 10, k_2: 10, k_3: 30, e: 0.00050, score: 0.01128763 
k_1: 10, k_2: 10, k_3: 30, e: 0.00100, score: 0.01088071 
k_1: 10, k_2: 10, k_3: 30, e: 0.00500, score: 0.39091416 
k_1: 10, k_2: 10, k_3: 30, e: 0.01000, score: 0.39469342 
k_1: 10, k_2: 10, k_3: 40, e: 0.00050, score: 0.01165552 
k_1: 10, k_2: 10, k_3: 40, e: 0.00100, score: 0.01125975 
k_1: 10, k_2: 10, k_3: 40, e: 0.00500, score: 0.01152174 
k_1: 10, k_2: 10, k_3: 40, e: 0.01000, score: 0.01288183 
k_1: 10, k_2: 10, k_3: 50, e: 0.00050, score: 0.38989967 
k_1: 10, k_2: 10, k_3: 50, e: 0.00100, score: 0.38991081 
k_1: 10, k_2: 10, k_3: 50, e: 0.00500, score: 0.39244705 
k_1: 10, k_2: 10, k_3: 50, e: 0.01000, score: 0.40017837 
k_1: 10, k_2: 10, k_3: 75, e: 0.00050, score: 0.01226310 
k_1: 10, k_2: 10, k_3: 75, e: 0.00100, score: 0.01064103 
k_1: 10, k_2: 10, k_3: 75, e: 0.00500, score: 0.01123188 
k_1: 10, k_2: 10, k_3: 75, e: 0.01000, score: 0.01503344 
k_1: 10, k_2: 10, k_3: 100, e: 0.00050, score: 0.01148272 
k_1: 10, k_2: 10, k_3: 100, e: 0.00100, score: 0.01035674 
k_1: 10, k_2: 10, k_3: 100, e: 0.00500, score: 0.01090858 
k_1: 10, k_2: 10, k_3: 100, e: 0.01000, score: 0.01364548 
k_1: 10, k_2: 20, k_3: 10, e: 0.00050, score: 0.59712932 
k_1: 10, k_2: 20, k_3: 10, e: 0.00100, score: 0.59279264 
k_1: 10, k_2: 20, k_3: 10, e: 0.00500, score: 0.59235786 
k_1: 10, k_2: 20, k_3: 10, e: 0.01000, score: 0.61958194 
k_1: 10, k_2: 20, k_3: 20, e: 0.00050, score: 0.42221293 
k_1: 10, k_2: 20, k_3: 20, e: 0.00100, score: 0.41309922 
k_1: 10, k_2: 20, k_3: 20, e: 0.00500, score: 0.41469342 
k_1: 10, k_2: 20, k_3: 20, e: 0.01000, score: 0.45038462 
k_1: 10, k_2: 20, k_3: 30, e: 0.00050, score: 0.01090858 
k_1: 10, k_2: 20, k_3: 30, e: 0.00100, score: 0.01112598 
k_1: 10, k_2: 20, k_3: 30, e: 0.00500, score: 0.43731327 
k_1: 10, k_2: 20, k_3: 30, e: 0.01000, score: 0.39438127 
k_1: 10, k_2: 20, k_3: 40, e: 0.00050, score: 0.01149387 
k_1: 10, k_2: 20, k_3: 40, e: 0.00100, score: 0.01114827 
